,auth_id,auth_title,ref_id,ref_title
0,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,278,"Penalized matrix decomposition for denoising, compression, and improved demixing of functional imaging data"
1,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,1392,Resting-state hemodynamics are spatiotemporally coupled to synchronized and symmetric neural activity in excitatory neurons
2,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,1498,Wide-field optical mapping of neural activity and brain haemodynamics: considerations and novel approaches
3,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2445,A quantitative description of membrane current and its application to conduction and excitation in nerve
4,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2442,An orderly single-trial organization of population dynamics in premotor cortex predicts behavioral variability
5,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2439,A motor cortex circuit for motor planning and movement
6,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2438,Flow of cortical activity underlying a tactile decision in mice
7,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2429,Nonparametric bayesian sparse graph linear dynamical systems
8,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2424,Pe'er i. variational objectives for markovian dynamics with backward simulation
9,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2423,Pe'er i. particle smoothing variational objectives
10,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2420,Pe'er i. smoothing nonlinear variational objectives with sequential monte carlo. deep generative models for highly structured data workshop
11,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2416,Variational sequential monte carlo
12,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2413,"Hungarian people’s republic v. cecil associates, inc., et al."
13,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2406,Auto-encoding sequential monte carlo
14,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,393,Gaussian-process factor analysis for low-dimensional single-trial analysis of neural population activity
15,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2392,Numerical linear algebra
16,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2388,Stochastic backpropagation and approximate inference in deep generative models
17,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2385,A method for stochastic optimization
18,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2383,An introduction to variational autoencoders
19,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2382,An introduction to variational methods for graphical models
20,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2379,Pattern recognition and machine learning (information science and statistics)
21,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2377,Variational monte carlo
22,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2373,Learning a latent manifold of odor representations from neural responses in piriform cortex
23,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2370,Gaussian process based nonlinear latent structure discovery in multivariate spike train data
24,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2366,Variational joint filtering
25,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2363,Lfads -latent factor analysis via dynamical systems
26,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,141,Inferring single-trial neural population dynamics using sequential auto-encoders
27,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2361,Structure-exploiting variational inference for recurrent switching linear dynamical systems
28,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2359,Structured inference networks for nonlinear state space models
29,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2357,Weiner and kalman filters
30,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2352,"Concepts, categories, and inference"
31,20,Nonlinear evolution via spatially-dependent linear dynamics for electrophysiology and calcium data,2350,Variational inference for nonlinear dynamics
