,domain_desc,reference_period_desc,util_practice_desc,class_desc,asd_desc,week_ending,country_code,unit_desc,CV (%),domaincat_desc,region_desc,zip_5,asd_code,begin_code,group_desc,county_ansi,state_name,country_name,county_name,commodity_desc,load_time,source_desc,watershed_desc,statisticcat_desc,freq_desc,end_code,county_code,state_fips_code,short_desc,year,state_alpha,congr_district_code,sector_desc,prodn_practice_desc,Value,agg_level_desc,watershed_code,location_desc,state_ansi
0,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,8.4,NOT SPECIFIED,,,,00,FIELD CROPS,,ALABAMA,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,01,"CORN, GRAIN - ACRES HARVESTED",2017,AL,,CROPS,ALL PRODUCTION PRACTICES,"243,820",STATE,00000000,ALABAMA,01
1,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,2.2,NOT SPECIFIED,,,,00,FIELD CROPS,,ALABAMA,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,01,"CORN, GRAIN - ACRES HARVESTED",2012,AL,,CROPS,ALL PRODUCTION PRACTICES,"285,328",STATE,00000000,ALABAMA,01
2,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,ALABAMA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,01,"CORN, GRAIN - ACRES HARVESTED",2007,AL,,CROPS,ALL PRODUCTION PRACTICES,"276,661",STATE,00000000,ALABAMA,01
3,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,ALABAMA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,01,"CORN, GRAIN - ACRES HARVESTED",2002,AL,,CROPS,ALL PRODUCTION PRACTICES,"176,122",STATE,00000000,ALABAMA,01
4,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,ALABAMA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,01,"CORN, GRAIN - ACRES HARVESTED",1997,AL,,CROPS,ALL PRODUCTION PRACTICES,"242,714",STATE,00000000,ALABAMA,01
5,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,14.7,NOT SPECIFIED,,,,00,FIELD CROPS,,ARIZONA,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,04,"CORN, GRAIN - ACRES HARVESTED",2017,AZ,,CROPS,ALL PRODUCTION PRACTICES,"30,526",STATE,00000000,ARIZONA,04
6,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,35.2,NOT SPECIFIED,,,,00,FIELD CROPS,,ARIZONA,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,04,"CORN, GRAIN - ACRES HARVESTED",2012,AZ,,CROPS,ALL PRODUCTION PRACTICES,"29,480",STATE,00000000,ARIZONA,04
7,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,ARIZONA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,04,"CORN, GRAIN - ACRES HARVESTED",2007,AZ,,CROPS,ALL PRODUCTION PRACTICES,"22,654",STATE,00000000,ARIZONA,04
8,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,ARIZONA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,04,"CORN, GRAIN - ACRES HARVESTED",2002,AZ,,CROPS,ALL PRODUCTION PRACTICES,"27,838",STATE,00000000,ARIZONA,04
9,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,ARIZONA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,04,"CORN, GRAIN - ACRES HARVESTED",1997,AZ,,CROPS,ALL PRODUCTION PRACTICES,"41,644",STATE,00000000,ARIZONA,04
10,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,5.2,NOT SPECIFIED,,,,00,FIELD CROPS,,ARKANSAS,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,05,"CORN, GRAIN - ACRES HARVESTED",2017,AR,,CROPS,ALL PRODUCTION PRACTICES,"594,773",STATE,00000000,ARKANSAS,05
11,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,1.2,NOT SPECIFIED,,,,00,FIELD CROPS,,ARKANSAS,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,05,"CORN, GRAIN - ACRES HARVESTED",2012,AR,,CROPS,ALL PRODUCTION PRACTICES,"695,003",STATE,00000000,ARKANSAS,05
12,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,ARKANSAS,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,05,"CORN, GRAIN - ACRES HARVESTED",2007,AR,,CROPS,ALL PRODUCTION PRACTICES,"584,629",STATE,00000000,ARKANSAS,05
13,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,ARKANSAS,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,05,"CORN, GRAIN - ACRES HARVESTED",2002,AR,,CROPS,ALL PRODUCTION PRACTICES,"238,554",STATE,00000000,ARKANSAS,05
14,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,ARKANSAS,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,05,"CORN, GRAIN - ACRES HARVESTED",1997,AR,,CROPS,ALL PRODUCTION PRACTICES,"185,251",STATE,00000000,ARKANSAS,05
15,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,5.1,NOT SPECIFIED,,,,00,FIELD CROPS,,CALIFORNIA,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,06,"CORN, GRAIN - ACRES HARVESTED",2017,CA,,CROPS,ALL PRODUCTION PRACTICES,"94,541",STATE,00000000,CALIFORNIA,06
16,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,1.9,NOT SPECIFIED,,,,00,FIELD CROPS,,CALIFORNIA,UNITED STATES,,CORN,2012-12-31 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,06,"CORN, GRAIN - ACRES HARVESTED",2012,CA,,CROPS,ALL PRODUCTION PRACTICES,"180,672",STATE,00000000,CALIFORNIA,06
17,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,CALIFORNIA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,06,"CORN, GRAIN - ACRES HARVESTED",2007,CA,,CROPS,ALL PRODUCTION PRACTICES,"189,965",STATE,00000000,CALIFORNIA,06
18,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,CALIFORNIA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,06,"CORN, GRAIN - ACRES HARVESTED",2002,CA,,CROPS,ALL PRODUCTION PRACTICES,"168,354",STATE,00000000,CALIFORNIA,06
19,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,,NOT SPECIFIED,,,,00,FIELD CROPS,,CALIFORNIA,UNITED STATES,,CORN,2012-01-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,06,"CORN, GRAIN - ACRES HARVESTED",1997,CA,,CROPS,ALL PRODUCTION PRACTICES,"258,501",STATE,00000000,CALIFORNIA,06
20,TOTAL,YEAR,GRAIN,ALL CLASSES,,,9000,ACRES,10.3,NOT SPECIFIED,,,,00,FIELD CROPS,,COLORADO,UNITED STATES,,CORN,2018-02-01 00:00:00,CENSUS,,AREA HARVESTED,ANNUAL,00,,08,"CORN, GRAIN - ACRES HARVESTED",2017,CO,,CROPS,ALL PRODUCTION PRACTICES,"1,306,283",STATE,00000000,COLORADO,08
